model,lang,n_words,n_mis_orig,prop_mis_orig,n_used_orig,prop_used_orig,n_mis_1,prop_mis_1,n_used_1,prop_used_1,n_mis_2,prop_mis_2,n_used_2,prop_used_2,n_mis_3,prop_mis_3,n_used_3,prop_used_3,diff_entropy,cond_ent_0,cond_ent_1,cond_ent_2,cond_ent_3,mi_0,mi_1,mi_2,mi_3
mbert,de,47763,12106,0.25,47763,1.0,9887,0.21,45544,0.95,5815,0.12,41472,0.87,0,0.0,35657,0.75,10.02,9.13,9.08,9.07,8.93,0.89,0.94,0.95,1.09
mbert,en,47650,5988,0.13,47650,1.0,5577,0.12,47239,0.99,3793,0.08,45455,0.95,0,0.0,41662,0.87,9.58,8.7,8.72,8.68,8.59,0.88,0.86,0.9,0.99
mbert,fr,27953,5349,0.19,27953,1.0,4796,0.17,27400,0.98,2948,0.11,25552,0.91,0,0.0,22604,0.81,9.86,8.63,8.71,8.63,8.56,1.23,1.15,1.23,1.3
mbert,it,38962,9333,0.24,38962,1.0,8668,0.22,38297,0.98,5390,0.14,35019,0.9,0,0.0,29629,0.76,9.74,8.88,8.69,8.43,8.30,0.86,1.05,1.31,1.44
mbert,ja,54163,21258,0.39,54163,1.0,20285,0.37,53190,0.98,18038,0.33,50943,0.94,0,0.0,32905,0.61,9.06,8.04,7.96,7.83,7.20,1.02,1.1,1.23,1.86
mbert,kor,6814,5270,0.77,6814,1.0,4469,0.66,6013,0.88,2526,0.37,4070,0.6,0,0.0,1544,0.23,10.23,9.73,9.60,9.39,9.77,0.5,0.63,0.84,0.46
mbert,sr,18607,7261,0.39,18607,1.0,6367,0.34,17713,0.95,4249,0.23,15595,0.84,0,0.0,11346,0.61,7.72,4.91,4.92,5.02,4.83,2.81,2.8,2.7,2.89
mbert,sv,38587,13310,0.34,38587,1.0,11576,0.3,36853,0.96,7403,0.19,32680,0.85,0,0.0,25277,0.66,9.90,9.03,9.05,8.93,8.23,0.87,0.85,0.97,1.67
mbert,th,41292,31629,0.77,41292,1.0,23792,0.58,33455,0.81,11844,0.29,21507,0.52,0,0.0,9663,0.23,9.58,7.89,8.10,7.91,7.83,1.69,1.48,1.67,1.75
mbert,vi,37155,7270,0.2,37155,1.0,7243,0.19,37128,1.0,6326,0.17,36211,0.97,0,0.0,29885,0.8,10.23,9.45,9.41,9.09,9.38,0.78,0.82,1.14,0.85
mbert,zh,35021,19425,0.55,35021,1.0,18360,0.52,33956,0.97,15677,0.45,31273,0.89,0,0.0,15596,0.45,10.36,9.69,9.49,9.65,8.73,0.67,0.87,0.71,1.63
mbert,yue,36077,9401,0.26,36077,1.0,9291,0.26,35967,1.0,8441,0.23,35117,0.97,0,0.0,26676,0.74,8.92,7.85,7.7,7.76,8.00,1.07,1.22,1.16,0.92
mbert,zh-by-char,67315,0,0,67315,1.0,0,0,67315,1.0,0,0,67315,1.0,0,0,67315,1,9.68,8.63,8.63,8.63,8.63,1.05,1.05,1.05,1.05
mbert,yue-by-char,50815,0,0,50815,1.0,0,0,50815,1.0,0,0,50815,1.0,0,0,50815,1,9.05,7.84,7.84,7.84,7.84,1.21,1.21,1.21,1.21
mgpt,de,47763,12551,0.26,47763,1.0,11311,0.24,46523,0.97,7740,0.16,42952,0.9,0,0.0,35212,0.74,10.02,9.21,9.22,9.20,8.56,0.81,0.8,0.82,1.46
mgpt,en,47650,6512,0.14,47650,1.0,6229,0.13,47367,0.99,4750,0.1,45888,0.96,0,0.0,41138,0.86,9.58,8.76,8.83,8.73,8.31,0.82,0.75,0.85,1.27
mgpt,fr,27953,5710,0.2,27953,1.0,5389,0.19,27632,0.99,4048,0.14,26291,0.94,0,0.0,22243,0.8,9.86,8.71,9.08,8.61,8.25,1.15,0.78,1.25,1.61
mgpt,it,38962,10455,0.27,38962,1.0,10095,0.26,38602,0.99,7826,0.2,36333,0.93,0,0.0,28507,0.73,9.74,9.09,9.11,8.84,7.66,0.65,0.63,0.9,2.08
mgpt,ja,54163,33480,0.62,54163,1.0,31722,0.59,52405,0.97,23731,0.44,44414,0.82,0,0.0,20683,0.38,9.06,8.26,8.19,8.20,7.96,0.8,0.87,0.86,1.1
mgpt,kor,6814,5710,0.84,6814,1.0,4328,0.64,5432,0.8,2225,0.33,3329,0.49,0,0.0,1104,0.16,10.23,9.37,9.40,9.06,9.05,0.86,0.83,1.17,1.18
mgpt,sr,38587,14221,0.37,38587,1.0,12883,0.33,37249,0.97,8920,0.23,33286,0.86,0,0.0,24366,0.63,7.72,5.48,5.76,6.01,6.59,2.24,1.96,1.71,1.13
mgpt,sv,18607,11709,0.63,18607,1.0,7717,0.41,14615,0.79,5657,0.3,12555,0.67,0,0.0,6898,0.37,9.90,8.97,9.38,9.01,8.51,0.93,0.52,0.89,1.39
mgpt,th,41292,32144,0.78,41292,1.0,25993,0.63,35141,0.85,11692,0.28,20840,0.5,0,0.0,9148,0.22,9.58,8.37,8.48,8.15,8.02,1.21,1.1,1.43,1.56
mgpt,vi,37155,9686,0.26,37155,1.0,9664,0.26,37133,1.0,9068,0.24,36537,0.98,0,0.0,27469,0.74,10.23,9.34,9.39,9.33,8.95,0.89,0.84,0.9,1.28
