Range	de	en	fr	it	ja	kor	sr	sv	th	vi	zh	yue	zh-by-char	yue-by-char
1	9613	6805	5704	7234	3229	3434	1808	4997	2034	661	9125	3968	660	510
2-10	3448	3549	2113	3312	2629	837	1090	2605	1724	1157	2979	2388	1205	981
11-20	243	356	134	204	273	39	90	194	269	263	241	183	380	279
21-30	73	87	39	69	111	9	47	70	86	114	92	64	179	104
31-40	42	38	13	36	38	2	19	22	40	61	27	38	113	70
41-50	12	23	12	13	33	2	6	15	31	47	17	18	73	47
51-100	37	33	19	29	56	2	25	55	64	87	41	42	148	80
>100	51	39	28	40	65	0	29	44	67	78	25	52	137	97
unique_tokens	13519	10930	8062	10937	6434	4325	3114	8002	4315	2468	12547	6753	2895	2168
total_tokens	47819	47670	27974	39413	54866	6918	18739	38761	42153	37838	36729	37380	61033	45844
