Range	de	en	fr	it	ja	kor	sr	sv	th	vi	zh	yue	zh-by-char	yue-by-char
1	9613	6805	5704	7234	3229	3434	1808	4997	2034	661	9125	3968	660	510
2-10	3448	3549	2113	3312	2629	837	1090	2605	1724	1157	2979	2388	1205	981
11-20	243	356	134	204	273	39	90	194	269	263	241	183	380	279
21-30	73	87	39	69	111	9	47	70	86	114	92	64	179	104
31-40	42	38	13	36	38	2	19	22	40	61	27	38	113	70
41-50	12	23	12	13	33	2	6	15	31	47	17	18	73	47
51-60	13	11	9	15	18	1	7	17	11	26	16	15	44	22
61-70	9	9	5	5	13	0	8	14	24	19	5	12	34	18
71-80	6	6	1	1	11	1	7	12	13	19	12	8	30	17
81-90	6	5	0	6	6	0	1	7	7	12	4	6	23	12
91-100	3	2	4	2	8	0	2	5	9	11	4	1	17	11
101-200	20	16	8	19	31	0	16	16	32	50	17	27	102	61
201-300	7	7	9	5	10	0	6	10	12	14	3	8	19	16
301-400	14	5	1	8	5	0	2	4	7	10	0	4	6	7
401-500	3	2	2	1	2	0	0	4	4	2	3	7	4	3
501-600	2	1	3	1	1	0	0	1	3	1	0	0	2	3
601-700	1	0	2	1	2	0	2	3	4	1	0	1	1	2
701-800	0	1	0	1	4	0	2	2	2	0	0	0	0	0
801-900	0	1	1	1	1	0	0	1	1	0	0	0	0	1
901-1000	1	2	1	1	1	0	0	2	0	0	0	1	1	1
1001-1100	1	1	0	1	0	0	0	0	0	0	1	1	1	0
1001+	2	3	1	1	8	0	1	1	2	0	1	3	1	3
unique_tokens	13519	10930	8062	10937	6434	4325	3114	8002	4315	2468	12547	6753	2895	2168
total_tokens	47819	47670	27974	39413	54866	6918	18739	38761	42153	37838	36729	37380	61033	45844
