model,language,type,entropy,ent_value,ent_sd,MI,MI_sd
C-KDE-all,De,Stress-accent languages,Differential Entropy,10.02,0.08,1.12,0.01
C-KDE-all,En,Stress-accent languages,Differential Entropy,9.58,0.12,1.05,0.01
C-KDE-all,Fr,Stress-accent languages,Differential Entropy,9.86,0.11,1.26,0.04
C-KDE-all,It,Stress-accent languages,Differential Entropy,9.74,0.19,1.11,0.01
C-KDE-all,Ja,Pitch-accent languages,Differential Entropy,9.06,0.09,1.34,0.03
C-KDE-all,Sr,Pitch-accent languages,Differential Entropy,7.72,0.17,NA,NA
C-KDE-all,Sv,Pitch-accent languages,Differential Entropy,9.90,0.09,1.17,0.03
C-KDE-all,Th,Tonal-accent languages,Differential Entropy,9.58,0.17,1.61,0.03
C-KDE-all,Vi,Tonal-accent languages,Differential Entropy,10.23,0.08,1.72,0.02
C-KDE-all,Zh-CN,Tonal-accent languages,Differential Entropy,10.36,0.14,0.92,0.01
C-KDE-all,Yue,Tonal-accent languages,Differential Entropy,8.92,0.12,1.36,0.02
C-KDE-all,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.68,0.07,1.66,0.03
C-KDE-all,Yue-by-Char,Tonal-accent languages,Differential Entropy,9.05,0.10,1.55,0.02
C-KDE-all,Kor,Other languages,Differential Entropy,10.23,0.22,NA,NA
C-KDE-all,De,Stress-accent languages,Conditional Entropy,8.90,0.01,1.12,0.01
C-KDE-all,En,Stress-accent languages,Conditional Entropy,8.53,0.01,1.05,0.01
C-KDE-all,Fr,Stress-accent languages,Conditional Entropy,8.60,0.04,1.26,0.04
C-KDE-all,It,Stress-accent languages,Conditional Entropy,8.63,0.01,1.11,0.01
C-KDE-all,Ja,Pitch-accent languages,Conditional Entropy,7.72,0.03,1.34,0.03
C-KDE-all,Sr,Pitch-accent languages,Conditional Entropy,NA,NA,NA,NA
C-KDE-all,Sv,Pitch-accent languages,Conditional Entropy,8.73,0.03,1.17,0.03
C-KDE-all,Th,Tonal-accent languages,Conditional Entropy,7.97,0.03,1.61,0.03
C-KDE-all,Vi,Tonal-accent languages,Conditional Entropy,8.51,0.02,1.72,0.02
