"model","language","subword_filter","subword_misalignment_ratio","retained_token_ratio","mi_value","type"
"mbert","De","All",0.25,1,0.89,"Stress-accent languages"
"mbert","De","< 4 subwords",0.21,0.95,0.94,"Stress-accent languages"
"mbert","De","< 3 subwords",0.12,0.87,0.95,"Stress-accent languages"
"mbert","De","< 2 subwords",0,0.75,1.09,"Stress-accent languages"
"mbert","En","All",0.13,1,0.88,"Stress-accent languages"
"mbert","En","< 4 subwords",0.12,0.99,0.86,"Stress-accent languages"
"mbert","En","< 3 subwords",0.08,0.95,0.9,"Stress-accent languages"
"mbert","En","< 2 subwords",0,0.87,0.99,"Stress-accent languages"
"mbert","Fr","All",0.19,1,1.23,"Stress-accent languages"
"mbert","Fr","< 4 subwords",0.17,0.98,1.15,"Stress-accent languages"
"mbert","Fr","< 3 subwords",0.11,0.91,1.23,"Stress-accent languages"
"mbert","Fr","< 2 subwords",0,0.81,1.3,"Stress-accent languages"
"mbert","It","All",0.24,1,0.86,"Stress-accent languages"
"mbert","It","< 4 subwords",0.22,0.98,1.05,"Stress-accent languages"
"mbert","It","< 3 subwords",0.14,0.9,1.31,"Stress-accent languages"
"mbert","It","< 2 subwords",0,0.76,1.44,"Stress-accent languages"
"mbert","Ja","All",0.39,1,1.02,"Pitch-accent languages"
"mbert","Ja","< 4 subwords",0.37,0.98,1.1,"Pitch-accent languages"
"mbert","Ja","< 3 subwords",0.33,0.94,1.23,"Pitch-accent languages"
"mbert","Ja","< 2 subwords",0,0.61,1.86,"Pitch-accent languages"
"mbert","Sv","All",0.34,1,0.87,"Pitch-accent languages"
"mbert","Sv","< 4 subwords",0.3,0.96,0.85,"Pitch-accent languages"
"mbert","Sv","< 3 subwords",0.19,0.85,0.97,"Pitch-accent languages"
"mbert","Sv","< 2 subwords",0,0.66,1.67,"Pitch-accent languages"
"mbert","Th","All",0.77,1,1.69,"Tonal-accent languages"
"mbert","Th","< 4 subwords",0.58,0.81,1.48,"Tonal-accent languages"
"mbert","Th","< 3 subwords",0.29,0.52,1.67,"Tonal-accent languages"
"mbert","Th","< 2 subwords",0,0.23,1.75,"Tonal-accent languages"
"mbert","Vi","All",0.2,1,0.78,"Tonal-accent languages"
"mbert","Vi","< 4 subwords",0.19,1,0.82,"Tonal-accent languages"
"mbert","Vi","< 3 subwords",0.17,0.97,1.14,"Tonal-accent languages"
"mbert","Vi","< 2 subwords",0,0.8,0.85,"Tonal-accent languages"
"mbert","Zh-CN","All",0.55,1,0.67,"Tonal-accent languages"
"mbert","Zh-CN","< 4 subwords",0.52,0.97,0.87,"Tonal-accent languages"
"mbert","Zh-CN","< 3 subwords",0.45,0.89,0.71,"Tonal-accent languages"
"mbert","Zh-CN","< 2 subwords",0,0.45,1.63,"Tonal-accent languages"
"mbert","Yue","All",0.26,1,1.07,"Tonal-accent languages"
"mbert","Yue","< 4 subwords",0.26,1,1.22,"Tonal-accent languages"
"mbert","Yue","< 3 subwords",0.23,0.97,1.16,"Tonal-accent languages"
"mbert","Yue","< 2 subwords",0,0.74,0.92,"Tonal-accent languages"
"mbert","Zh(chr)","All",0,1,1.05,"Tonal-accent languages"
"mbert","Zh(chr)","< 4 subwords",0,1,1.05,"Tonal-accent languages"
"mbert","Zh(chr)","< 3 subwords",0,1,1.05,"Tonal-accent languages"
"mbert","Zh(chr)","< 2 subwords",0,1,1.05,"Tonal-accent languages"
"mbert","Yue(chr)","All",0,1,1.21,"Tonal-accent languages"
"mbert","Yue(chr)","< 4 subwords",0,1,1.21,"Tonal-accent languages"
"mbert","Yue(chr)","< 3 subwords",0,1,1.21,"Tonal-accent languages"
"mbert","Yue(chr)","< 2 subwords",0,1,1.21,"Tonal-accent languages"
"mgpt","De","All",0.26,1,0.81,"Stress-accent languages"
"mgpt","De","< 4 subwords",0.24,0.97,0.8,"Stress-accent languages"
"mgpt","De","< 3 subwords",0.16,0.9,0.82,"Stress-accent languages"
"mgpt","De","< 2 subwords",0,0.74,1.46,"Stress-accent languages"
"mgpt","En","All",0.14,1,0.82,"Stress-accent languages"
"mgpt","En","< 4 subwords",0.13,0.99,0.75,"Stress-accent languages"
"mgpt","En","< 3 subwords",0.1,0.96,0.85,"Stress-accent languages"
"mgpt","En","< 2 subwords",0,0.86,1.27,"Stress-accent languages"
"mgpt","Fr","All",0.2,1,1.15,"Stress-accent languages"
"mgpt","Fr","< 4 subwords",0.19,0.99,0.78,"Stress-accent languages"
"mgpt","Fr","< 3 subwords",0.14,0.94,1.25,"Stress-accent languages"
"mgpt","Fr","< 2 subwords",0,0.8,1.61,"Stress-accent languages"
"mgpt","It","All",0.27,1,0.65,"Stress-accent languages"
"mgpt","It","< 4 subwords",0.26,0.99,0.63,"Stress-accent languages"
"mgpt","It","< 3 subwords",0.2,0.93,0.9,"Stress-accent languages"
"mgpt","It","< 2 subwords",0,0.73,2.08,"Stress-accent languages"
"mgpt","Ja","All",0.62,1,0.8,"Pitch-accent languages"
"mgpt","Ja","< 4 subwords",0.59,0.97,0.87,"Pitch-accent languages"
"mgpt","Ja","< 3 subwords",0.44,0.82,0.86,"Pitch-accent languages"
"mgpt","Ja","< 2 subwords",0,0.38,1.1,"Pitch-accent languages"
"mgpt","Sv","All",0.63,1,0.93,"Pitch-accent languages"
"mgpt","Sv","< 4 subwords",0.41,0.79,0.52,"Pitch-accent languages"
"mgpt","Sv","< 3 subwords",0.3,0.67,0.89,"Pitch-accent languages"
"mgpt","Sv","< 2 subwords",0,0.37,1.39,"Pitch-accent languages"
"mgpt","Th","All",0.78,1,1.21,"Tonal-accent languages"
"mgpt","Th","< 4 subwords",0.63,0.85,1.1,"Tonal-accent languages"
"mgpt","Th","< 3 subwords",0.28,0.5,1.43,"Tonal-accent languages"
"mgpt","Th","< 2 subwords",0,0.22,1.56,"Tonal-accent languages"
"mgpt","Vi","All",0.26,1,0.89,"Tonal-accent languages"
"mgpt","Vi","< 4 subwords",0.26,1,0.84,"Tonal-accent languages"
"mgpt","Vi","< 3 subwords",0.24,0.98,0.9,"Tonal-accent languages"
"mgpt","Vi","< 2 subwords",0,0.74,1.28,"Tonal-accent languages"
"mgpt","Zh-CN","All",0.77,1,0.63,"Tonal-accent languages"
"mgpt","Zh-CN","< 4 subwords",0.67,0.9,0.69,"Tonal-accent languages"
"mgpt","Zh-CN","< 3 subwords",0.46,0.69,0.59,"Tonal-accent languages"
"mgpt","Zh-CN","< 2 subwords",0,0.23,1.09,"Tonal-accent languages"
"mgpt","Yue","All",0.81,1,0.98,"Tonal-accent languages"
"mgpt","Yue","< 4 subwords",0.78,0.97,0.88,"Tonal-accent languages"
"mgpt","Yue","< 3 subwords",0.47,0.66,0.93,"Tonal-accent languages"
"mgpt","Yue","< 2 subwords",0,0.19,0.61,"Tonal-accent languages"
"mgpt","Zh(chr)","All",0.8335,1,0.91,"Tonal-accent languages"
"mgpt","Zh(chr)","< 4 subwords",0.8335,0.9648,0.84,"Tonal-accent languages"
"mgpt","Zh(chr)","< 3 subwords",0.7983,0.9648,0.84,"Tonal-accent languages"
"mgpt","Zh(chr)","< 2 subwords",0,0.1665,0.85,"Tonal-accent languages"
"mgpt","Yue(chr)","All",0.8227,1,0.74,"Tonal-accent languages"
"mgpt","Yue(chr)","< 4 subwords",0.8219,0.9992,0.84,"Tonal-accent languages"
"mgpt","Yue(chr)","< 3 subwords",0.6687,0.846,0.83,"Tonal-accent languages"
"mgpt","Yue(chr)","< 2 subwords",0,0.1773,0.76,"Tonal-accent languages"
